timestamp,event_id,event_type,host_id,source_ip,dest_ip,user,process_name,file_path,protocol,dest_port,bytes_transferred,details
2025-06-19 16:02:26,e35c7aa9-087b-4904-8d32-fdf895eb8352,cpu_utilization,host-001,,,user04,firefox.exe,,,,,"{""cpu_percent"": 23.805288256551133, ""memory_mb"": 136}"
2025-06-19 16:02:27,0f54408e-64ca-45a7-b4fb-e73aac524d09,process_creation,host-002,,,dbuser,outlook.exe,,,,,"{""cpu_percent"": 42.235082258890756, ""memory_mb"": 139}"
2025-06-19 16:02:28,55c8c157-1cec-41e5-b151-f03dd8cd4c47,cpu_utilization,host-003,,,user01,powershell.exe,,,,,"{""cpu_percent"": 44.140175981443754, ""memory_mb"": 197}"
2025-06-19 16:02:29,f4b710b7-5e5a-432b-b033-68df8cfe1bb6,registry_access,host-010,,,user02,outlook.exe,,,,,"{""cpu_percent"": 14.06537213419557, ""memory_mb"": 44}"
2025-06-19 16:02:30,abd44455-ffa7-4e72-a47e-858fc377a727,cpu_utilization,host-002,,,user03,zoom.exe,,,,,"{""cpu_percent"": 48.2275838341859, ""memory_mb"": 182}"
2025-06-19 16:02:31,9ac5bafe-c8ff-45d4-ba9a-e004468d0cf5,file_access,host-010,,,user05,explorer.exe,,,,,"{""cpu_percent"": 2.307200364011265, ""memory_mb"": 153}"
2025-06-19 16:02:32,087eae6f-6fef-4cc1-a61f-20a7da5eff02,registry_access,host-001,,,guest,teams.exe,,,,,"{""cpu_percent"": 37.447649277475996, ""memory_mb"": 199}"
2025-06-19 16:02:33,792dea4e-0d63-47ec-a0b6-4f0d9afa9501,cpu_utilization,host-003,,,user04,chrome.exe,,,,,"{""cpu_percent"": 7.709887442876763, ""memory_mb"": 194}"
2025-06-19 16:02:34,762f7fe1-a8a5-4a68-9bf9-41dd9fa360a8,process_creation,host-006,,,guest,notepad.exe,,,,,"{""cpu_percent"": 17.49555893255481, ""memory_mb"": 185}"
2025-06-19 16:02:35,ef3259ab-165c-4ca3-8fa8-a82388a53146,registry_access,host-005,,,sysadmin,teams.exe,,,,,"{""cpu_percent"": 18.757377141045158, ""memory_mb"": 153}"
2025-06-19 16:02:36,cb6fe092-6094-4979-b642-d5f0424323d9,registry_access,host-010,,,sysadmin,cmd.exe,,,,,"{""cpu_percent"": 28.759403654458268, ""memory_mb"": 74}"
2025-06-19 16:02:37,9a7e5898-1dca-479e-bf33-c63d7b1459e4,process_creation,host-008,,,webmaster,msword.exe,,,,,"{""cpu_percent"": 22.956647264896038, ""memory_mb"": 246}"
2025-06-19 16:02:38,9355df2e-f489-4ebe-b3b8-d624f45351b5,cpu_utilization,host-010,,,guest,excel.exe,,,,,"{""cpu_percent"": 34.52212460342367, ""memory_mb"": 10}"
2025-06-19 16:02:39,a866ebd9-5a26-492d-8d66-18ce44c60c53,process_creation,host-007,,,guest,zoom.exe,,,,,"{""cpu_percent"": 19.398014594844987, ""memory_mb"": 251}"
2025-06-19 16:02:40,7b1cec9c-c16b-4895-9e4d-a9cbefb080e3,file_access,host-001,,,dbuser,zoom.exe,,,,,"{""cpu_percent"": 23.495614138755386, ""memory_mb"": 233}"
