timestamp,event_id,event_type,host_id,source_ip,dest_ip,user,process_name,file_path,protocol,dest_port,bytes_transferred,details
2025-06-19 16:02:26,506af877-6f58-4001-bc94-28308ab2150b,network_connection,,192.168.1.106,10.0.0.9,,,,ICMP,53,484613,{}
2025-06-19 16:02:27,096d7edc-4868-4353-8a80-6e8b47c7eabb,network_connection,,192.168.1.103,10.0.0.4,,,,ICMP,53,101580,{}
2025-06-19 16:02:28,95a42fa9-e5ff-4f79-bbef-2270f5a63ac4,network_connection,,10.0.0.1,172.16.20.150,,,,UDP,21,177840,{}
2025-06-19 16:02:29,5f48f90e-8416-4fdb-a762-5bf625bcd357,network_connection,,192.168.1.101,10.0.0.7,,,,UDP,23,207275,{}
2025-06-19 16:02:30,852c54f7-45ea-4d7e-8cd7-31057bca1bd5,data_transfer,,10.0.0.9,10.0.0.5,,,,ICMP,143,178919,{}
2025-06-19 16:02:31,50bf24ff-de5a-4a84-9b02-191be8eaf800,network_connection,,10.0.0.2,172.16.68.232,,,,TCP,53,494628,{}
2025-06-19 16:02:32,e9c59124-288e-4316-b781-54dc112e497d,dns_query,,192.168.1.100,10.0.0.4,,,,UDP,25,189081,{}
2025-06-19 16:02:33,bc261def-f8d0-4dbc-ade2-8786a05bb0d3,data_transfer,,192.168.1.107,10.0.0.8,,,,UDP,445,377652,{}
2025-06-19 16:02:34,ef1e6796-4b08-4d65-a771-52b4215d213c,data_transfer,,10.0.0.9,192.168.1.103,,,,UDP,143,89659,{}
2025-06-19 16:02:35,5088e846-3676-4751-be9c-045681b7fa86,network_connection,,172.16.131.107,172.16.68.232,,,,UDP,80,19700,{}
2025-06-19 16:02:36,f4f98219-5e17-4df3-a61e-687cda44e2c2,network_connection,,192.168.1.108,10.0.0.2,,,,TCP,445,303394,{}
2025-06-19 16:02:37,180aab45-108d-4d11-ac1b-f19e4f04cda7,network_connection,,192.168.1.105,10.0.0.7,,,,ICMP,443,16028,{}
2025-06-19 16:02:38,25d9056d-9a16-4ecf-9f24-319db0946bb9,dns_query,,192.168.1.107,172.16.82.112,,,,TCP,25,334091,{}
2025-06-19 16:02:39,d0c01b42-4c3a-4f08-914c-b1107c55b05a,dns_query,,192.168.1.106,192.168.1.101,,,,TCP,25,303434,{}
2025-06-19 16:02:40,96722edb-7128-4976-9bd9-f24d5a094f9c,network_connection,,172.16.131.107,172.16.20.150,,,,ICMP,25,367611,{}
2025-06-19 16:02:41,051ceb3d-d987-4693-a837-665d4148f87a,dns_query,,172.16.68.232,172.16.159.143,,,,TCP,443,283070,{}
2025-06-19 16:02:42,bb1a7bb7-910e-475e-969c-af540022c0d2,data_transfer,,10.0.0.10,192.168.1.107,,,,ICMP,445,362705,{}
2025-06-19 16:02:43,16286f9a-0673-4916-bc11-ad3ca744bb30,dns_query,,172.16.20.150,10.0.0.4,,,,UDP,25,281612,{}
2025-06-19 16:02:44,b1ba0a9c-9b2e-4bff-9cf4-80db5bcaa67c,network_connection,,10.0.0.7,192.168.1.102,,,,UDP,443,255871,{}
2025-06-19 16:02:45,78ffb7a6-1fe2-4490-8c36-8b3bf0c34aec,data_transfer,,10.0.0.7,192.168.1.109,,,,UDP,443,375615,{}
2025-06-19 16:02:46,2fc1fec6-1dab-480e-8513-cb872999c6ae,dns_query,,10.0.0.3,192.168.1.104,,,,TCP,443,273685,{}
2025-06-19 16:02:47,33248805-3406-4d97-ae5f-706b0bd6ffe9,dns_query,,172.16.131.107,192.168.1.101,,,,TCP,22,82533,{}
2025-06-19 16:02:48,9d5e1eff-3fe8-4285-a01d-9f036e7b7f31,network_connection,,192.168.1.101,192.168.1.109,,,,UDP,143,368743,{}
2025-06-19 16:02:49,f47c6ff3-84d7-479f-b9a0-3c0ad2b17918,data_transfer,,172.16.20.150,10.0.0.9,,,,UDP,22,220234,{}
2025-06-19 16:02:50,66cf7aab-8a8c-41cd-b3ac-54970270780b,data_transfer,,192.168.1.102,10.0.0.7,,,,UDP,143,177472,{}
2025-06-19 16:02:51,a953b531-0d7c-433a-a899-1ddcda705762,dns_query,,172.16.82.112,10.0.0.7,,,,TCP,53,452706,{}
2025-06-19 16:02:52,336d453c-3f7c-457c-8fdb-e1a8e56bdd13,network_connection,,192.168.1.105,192.168.1.107,,,,ICMP,53,47867,{}
